,id,x,y,z,ow,ox,oy,oz,vis,sel,lock,label,desc,associatedNodeID
0,vtkMRMLMarkupsFiducialNode_253,196.282,130.315,31.293,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-2,,
1,vtkMRMLMarkupsFiducialNode_254,197.58,128.247,33.976,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-3,,
2,vtkMRMLMarkupsFiducialNode_255,196.989,131.913,32.491,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-4,,
3,vtkMRMLMarkupsFiducialNode_256,197.828,131.786,34.078,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-5,,
4,vtkMRMLMarkupsFiducialNode_257,196.544,122.779,33.17,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-6,,
5,vtkMRMLMarkupsFiducialNode_258,199.196,127.708,37.314,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-7,,
6,vtkMRMLMarkupsFiducialNode_259,196.704,120.708,33.997,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-8,,
7,vtkMRMLMarkupsFiducialNode_260,197.021,121.917,34.206,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-9,,
8,vtkMRMLMarkupsFiducialNode_261,196.879,118.307,34.83,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-10,,
9,vtkMRMLMarkupsFiducialNode_262,198.826,124.027,37.285,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-11,,
10,vtkMRMLMarkupsFiducialNode_263,198.827,132.809,35.809,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-12,,
11,vtkMRMLMarkupsFiducialNode_264,196.736,113.892,35.924,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-13,,
12,vtkMRMLMarkupsFiducialNode_265,198.212,114.325,38.523,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-14,,
13,vtkMRMLMarkupsFiducialNode_266,199.548,118.169,40.187,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-15,,
14,vtkMRMLMarkupsFiducialNode_267,200.048,131.334,38.652,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-16,,
15,vtkMRMLMarkupsFiducialNode_268,199.772,133.796,37.53,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-17,,
16,vtkMRMLMarkupsFiducialNode_269,196.983,108.875,38.213,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-18,,
17,vtkMRMLMarkupsFiducialNode_270,196.509,109.963,36.937,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-19,,
18,vtkMRMLMarkupsFiducialNode_271,197.12,113.074,36.934,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-20,,
19,vtkMRMLMarkupsFiducialNode_272,198.068,109.039,40.245,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-21,,
20,vtkMRMLMarkupsFiducialNode_273,196.379,106.358,38.164,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-22,,
21,vtkMRMLMarkupsFiducialNode_274,200.223,124.604,40.214,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-23,,
22,vtkMRMLMarkupsFiducialNode_275,200.256,133.591,38.675,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-24,,
23,vtkMRMLMarkupsFiducialNode_276,198.126,106.054,41.726,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-25,,
24,vtkMRMLMarkupsFiducialNode_277,199.585,112.7,41.982,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-26,,
25,vtkMRMLMarkupsFiducialNode_278,200.537,118.951,42.275,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-27,,
26,vtkMRMLMarkupsFiducialNode_279,200.776,129.235,40.567,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-28,,
27,vtkMRMLMarkupsFiducialNode_280,196.107,103.221,39.454,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-29,,
28,vtkMRMLMarkupsFiducialNode_281,196.388,99.407,42.299,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-30,,
29,vtkMRMLMarkupsFiducialNode_282,195.463,100.42,40.017,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-31,,
30,vtkMRMLMarkupsFiducialNode_283,200.497,114.871,43.207,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-32,,
31,vtkMRMLMarkupsFiducialNode_284,201.734,131.372,42.421,0.0,0.0,0.0,1.0,1,1,0,MarkupsFiducial-33,,
