,id,x,y,z,ow,ox,oy,oz,vis,sel,lock,label,desc,associatedNodeID
0,vtkMRMLMarkupsFiducialNode_85,162.0,138.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_1,,
1,vtkMRMLMarkupsFiducialNode_86,158.0,138.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_2,,
2,vtkMRMLMarkupsFiducialNode_87,154.0,138.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_3,,
3,vtkMRMLMarkupsFiducialNode_88,150.0,138.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_4,,
4,vtkMRMLMarkupsFiducialNode_89,146.0,138.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_5,,
5,vtkMRMLMarkupsFiducialNode_90,142.0,138.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_6,,
6,vtkMRMLMarkupsFiducialNode_91,166.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_7,,
7,vtkMRMLMarkupsFiducialNode_92,162.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_8,,
8,vtkMRMLMarkupsFiducialNode_93,158.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_9,,
9,vtkMRMLMarkupsFiducialNode_94,154.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_10,,
10,vtkMRMLMarkupsFiducialNode_95,150.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_11,,
11,vtkMRMLMarkupsFiducialNode_96,146.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_12,,
12,vtkMRMLMarkupsFiducialNode_97,142.0,133.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_13,,
13,vtkMRMLMarkupsFiducialNode_98,166.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_14,,
14,vtkMRMLMarkupsFiducialNode_99,162.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_15,,
15,vtkMRMLMarkupsFiducialNode_100,158.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_16,,
16,vtkMRMLMarkupsFiducialNode_101,154.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_17,,
17,vtkMRMLMarkupsFiducialNode_102,150.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_18,,
18,vtkMRMLMarkupsFiducialNode_103,146.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_19,,
19,vtkMRMLMarkupsFiducialNode_104,142.0,128.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_20,,
20,vtkMRMLMarkupsFiducialNode_105,166.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_21,,
21,vtkMRMLMarkupsFiducialNode_106,162.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_22,,
22,vtkMRMLMarkupsFiducialNode_107,158.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_23,,
23,vtkMRMLMarkupsFiducialNode_108,154.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_24,,
24,vtkMRMLMarkupsFiducialNode_109,150.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_25,,
25,vtkMRMLMarkupsFiducialNode_110,146.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_26,,
26,vtkMRMLMarkupsFiducialNode_111,142.0,123.0,74.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_27,,
27,vtkMRMLMarkupsFiducialNode_112,166.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_28,,
28,vtkMRMLMarkupsFiducialNode_113,162.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_29,,
29,vtkMRMLMarkupsFiducialNode_114,158.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_30,,
30,vtkMRMLMarkupsFiducialNode_115,154.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_31,,
31,vtkMRMLMarkupsFiducialNode_116,150.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_32,,
32,vtkMRMLMarkupsFiducialNode_117,146.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_33,,
33,vtkMRMLMarkupsFiducialNode_118,142.0,138.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_34,,
34,vtkMRMLMarkupsFiducialNode_119,166.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_35,,
35,vtkMRMLMarkupsFiducialNode_120,162.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_36,,
36,vtkMRMLMarkupsFiducialNode_121,158.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_37,,
37,vtkMRMLMarkupsFiducialNode_122,154.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_38,,
38,vtkMRMLMarkupsFiducialNode_123,150.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_39,,
39,vtkMRMLMarkupsFiducialNode_124,146.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_40,,
40,vtkMRMLMarkupsFiducialNode_125,142.0,133.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_41,,
41,vtkMRMLMarkupsFiducialNode_126,166.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_42,,
42,vtkMRMLMarkupsFiducialNode_127,162.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_43,,
43,vtkMRMLMarkupsFiducialNode_128,158.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_44,,
44,vtkMRMLMarkupsFiducialNode_129,154.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_45,,
45,vtkMRMLMarkupsFiducialNode_130,150.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_46,,
46,vtkMRMLMarkupsFiducialNode_131,146.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_47,,
47,vtkMRMLMarkupsFiducialNode_132,142.0,128.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_48,,
48,vtkMRMLMarkupsFiducialNode_133,166.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_49,,
49,vtkMRMLMarkupsFiducialNode_134,162.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_50,,
50,vtkMRMLMarkupsFiducialNode_135,158.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_51,,
51,vtkMRMLMarkupsFiducialNode_136,154.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_52,,
52,vtkMRMLMarkupsFiducialNode_137,150.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_53,,
53,vtkMRMLMarkupsFiducialNode_138,146.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_54,,
54,vtkMRMLMarkupsFiducialNode_139,142.0,123.0,82.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_55,,
55,vtkMRMLMarkupsFiducialNode_140,166.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_56,,
56,vtkMRMLMarkupsFiducialNode_141,162.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_57,,
57,vtkMRMLMarkupsFiducialNode_142,158.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_58,,
58,vtkMRMLMarkupsFiducialNode_143,154.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_59,,
59,vtkMRMLMarkupsFiducialNode_144,150.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_60,,
60,vtkMRMLMarkupsFiducialNode_145,146.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_61,,
61,vtkMRMLMarkupsFiducialNode_146,142.0,138.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_62,,
62,vtkMRMLMarkupsFiducialNode_147,166.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_63,,
63,vtkMRMLMarkupsFiducialNode_148,162.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_64,,
64,vtkMRMLMarkupsFiducialNode_149,158.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_65,,
65,vtkMRMLMarkupsFiducialNode_150,154.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_66,,
66,vtkMRMLMarkupsFiducialNode_151,150.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_67,,
67,vtkMRMLMarkupsFiducialNode_152,146.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_68,,
68,vtkMRMLMarkupsFiducialNode_153,142.0,133.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_69,,
69,vtkMRMLMarkupsFiducialNode_154,166.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_70,,
70,vtkMRMLMarkupsFiducialNode_155,162.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_71,,
71,vtkMRMLMarkupsFiducialNode_156,158.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_72,,
72,vtkMRMLMarkupsFiducialNode_157,154.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_73,,
73,vtkMRMLMarkupsFiducialNode_158,150.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_74,,
74,vtkMRMLMarkupsFiducialNode_159,146.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_75,,
75,vtkMRMLMarkupsFiducialNode_160,142.0,128.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_76,,
76,vtkMRMLMarkupsFiducialNode_161,166.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_77,,
77,vtkMRMLMarkupsFiducialNode_162,162.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_78,,
78,vtkMRMLMarkupsFiducialNode_163,158.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_79,,
79,vtkMRMLMarkupsFiducialNode_164,154.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_80,,
80,vtkMRMLMarkupsFiducialNode_165,150.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_81,,
81,vtkMRMLMarkupsFiducialNode_166,146.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_82,,
82,vtkMRMLMarkupsFiducialNode_167,142.0,123.0,90.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_83,,
83,vtkMRMLMarkupsFiducialNode_168,166.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_0,,
84,vtkMRMLMarkupsFiducialNode_169,162.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_1,,
85,vtkMRMLMarkupsFiducialNode_170,158.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_2,,
86,vtkMRMLMarkupsFiducialNode_171,154.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_3,,
87,vtkMRMLMarkupsFiducialNode_172,150.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_4,,
88,vtkMRMLMarkupsFiducialNode_173,146.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_5,,
89,vtkMRMLMarkupsFiducialNode_174,142.0,138.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_6,,
90,vtkMRMLMarkupsFiducialNode_175,166.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_7,,
91,vtkMRMLMarkupsFiducialNode_176,162.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_8,,
92,vtkMRMLMarkupsFiducialNode_177,158.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_9,,
93,vtkMRMLMarkupsFiducialNode_178,154.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_10,,
94,vtkMRMLMarkupsFiducialNode_179,150.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_11,,
95,vtkMRMLMarkupsFiducialNode_180,146.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_12,,
96,vtkMRMLMarkupsFiducialNode_181,142.0,133.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_13,,
97,vtkMRMLMarkupsFiducialNode_182,166.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_14,,
98,vtkMRMLMarkupsFiducialNode_183,162.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_15,,
99,vtkMRMLMarkupsFiducialNode_184,158.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_16,,
100,vtkMRMLMarkupsFiducialNode_185,154.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_17,,
101,vtkMRMLMarkupsFiducialNode_186,150.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_18,,
102,vtkMRMLMarkupsFiducialNode_187,146.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_19,,
103,vtkMRMLMarkupsFiducialNode_188,142.0,128.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_20,,
104,vtkMRMLMarkupsFiducialNode_189,166.0,123.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_21,,
105,vtkMRMLMarkupsFiducialNode_190,162.0,123.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_22,,
106,vtkMRMLMarkupsFiducialNode_191,158.0,123.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_23,,
107,vtkMRMLMarkupsFiducialNode_192,154.0,123.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_24,,
108,vtkMRMLMarkupsFiducialNode_193,150.0,123.0,98.0,0.0,0.0,0.0,1.0,1,0,0,vtkMRMLMarkupsFiducialNode_25,,
